0;0;2;0;0;
0;2;@;8;0;
0;2;@;8;0;
0;2;@;8;0;
0;2;@;8;0;
0;0;2;0;0;

0;0;0;0;0;
0;0;0;0;0;
2;5;6;7;0;
@;@;@;@;8;
2;5;6;7;0;
0;0;0;0;0;

0;0;2;0;0;
0;2;@;8;0;
0;2;@;8;0;
0;2;@;8;0;
0;2;@;8;0;
0;0;2;0;0;

0;0;0;0;0;
2;5;6;7;0;
@;@;@;@;8;
2;5;6;7;0;
0;0;0;0;0;
0;0;0;0;0;

0;0;0;0;0;
0;1;2;0;0;
2;@;@;9;0;
2;@;@;9;0;
0;1;2;0;0;
0;0;0;0;0;

0;0;0;0;0;
0;1;2;0;0;
2;@;@;9;0;
2;@;@;9;0;
0;1;2;0;0;
0;0;0;0;0;

0;0;0;0;0;
0;1;2;0;0;
2;@;@;9;0;
2;@;@;9;0;
0;1;2;0;0;
0;0;0;0;0;

0;0;0;0;0;
0;1;2;0;0;
2;@;@;9;0;
2;@;@;9;0;
0;1;2;0;0;
0;0;0;0;0;

0;2;0;0;0;
3;@;8;0;0;
2;@;@;6;0;
3;@;8;0;0;
0;2;0;0;0;
0;0;0;0;0;

0;2;0;0;0;
6;@;8;0;0;
@;@;@;9;0;
2;2;4;0;0;
0;0;0;0;0;
0;0;0;0;0;

0;0;1;0;0;
0;5;@;7;0;
2;@;@;7;0;
0;5;@;7;0;
0;0;1;0;0;
0;0;0;0;0;

0;0;0;0;0;
2;2;4;0;0;
@;@;@;9;0;
6;@;8;0;0;
0;2;0;0;0;
0;0;0;0;0;

0;2;0;0;0;
2;@;5;0;0;
2;@;@;6;0;
0;2;@;7;0;
0;0;2;0;0;
0;0;0;0;0;

0;0;0;0;0;
0;2;3;0;0;
2;@;@;8;0;
@;@;9;0;0;
1;2;0;0;0;
0;0;0;0;0;

0;2;0;0;0;
2;@;5;0;0;
2;@;@;6;0;
0;2;@;7;0;
0;0;2;0;0;
0;0;0;0;0;

0;2;3;0;0;
2;@;@;8;0;
@;@;9;0;0;
1;2;0;0;0;
0;0;0;0;0;
0;0;0;0;0;

0;0;2;0;0;
0;2;@;7;0;
2;@;@;6;0;
2;@;5;0;0;
0;2;0;0;0;
0;0;0;0;0;

0;0;0;0;0;
1;2;0;0;0;
@;@;9;0;0;
2;@;@;8;0;
0;2;3;0;0;
0;0;0;0;0;

0;0;2;0;0;
0;2;@;7;0;
2;@;@;6;0;
2;@;5;0;0;
0;2;0;0;0;
0;0;0;0;0;

1;2;0;0;0;
@;@;9;0;0;
2;@;@;8;0;
0;2;3;0;0;
0;0;0;0;0;
0;0;0;0;0;

0;2;0;0;0;
2;@;7;0;0;
2;@;8;0;0;
2;@;@;6;0;
0;2;4;0;0;
0;0;0;0;0;

0;0;3;0;0;
4;8;@;7;0;
@;@;@;7;0;
1;3;5;0;0;
0;0;0;0;0;
0;0;0;0;0;

0;1;4;0;0;
2;@;@;6;0;
0;4;@;6;0;
0;8;@;6;0;
0;0;2;0;0;
0;0;0;0;0;

0;0;0;0;0;
1;2;2;0;0;
@;@;@;9;0;
@;8;4;0;0;
1;0;0;0;0;
0;0;0;0;0;

0;2;4;0;0;
2;@;@;6;0;
2;@;8;0;0;
2;@;7;0;0;
0;2;0;0;0;
0;0;0;0;0;

1;0;0;0;0;
@;8;4;0;0;
@;@;@;9;0;
1;2;2;0;0;
0;0;0;0;0;
0;0;0;0;0;

0;0;2;0;0;
0;8;@;6;0;
0;4;@;6;0;
2;@;@;6;0;
0;1;4;0;0;
0;0;0;0;0;

0;0;0;0;0;
1;3;5;0;0;
@;@;@;7;0;
4;8;@;7;0;
0;0;3;0;0;
0;0;0;0;0;
